# VULCAN P-H-O network for reducing atmospheres
##########################################################################################################################################################
# logged history
# 11.2022 Elspeth K. H.  Lee - converted from Wang et al. (2016)/Twarowski (1995) P/H/O network with H/O reaction coefficients from VULCAN -
# This is the full Wang et al. (2016) P/H/O network with added photochemical reactions
# 5.2023 Elspeth K. H.  Lee - Added (non speculative) Moses reactions and replaced some reactions
# 6.2023 Elspeth K. H. Lee - Added Plane P2O6 reaction rate + photochemical species
##########################################################################################################################################################
# In Temp, KIDA means the values are close to those on KIDA
# in the form of k = A T^B exp(-C/T)
# Two-body Reactions
# id	Reactions                           	A       	B       	C      Ref 			             Temp

329  [ H + PH2 + M -> PH3 + M             ]  4.320E-24   -2.1662       211.18   1.220E-10   0.200        -8.013       **Klippenstein calculation, this work
331  [ H + PO2 + M -> HOPO + M            ]  7.95E-17    -4.33      513.28      1.91E-14    1.29      -754.83    Haworth et al. (2002)
333  [ OH + PO2 + M -> HOPO2 + M         ]   0.28E+00    -8.59     4528.98      2.57e-10    -0.24      0.0      Haworth et al. (2002)
335  [ H + P2 + M -> P2H + M              ]  2.470E-27   -1.230       152.00   1.450E-11    0.540      -58.9      Klippenstein calculation
#335  [ PO + PO2 + M -> P2O3 + M           ]  2.757E-28   -2.000      0.00      6.642E-10   -1.000      0.00      Jayaweera+05
337  [ PO + PO2 + M -> P2O3 + M           ]  1.49E-15     -4.25       0.00      2.819E-10   0.167       0.00      Plane_calculation
#361  [ PO2 + PO2 + M -> P2O4 + M           ] 5.51E-28    -2.000      0.00      9.96E-10    -1.000      0.00       Jayaweera+05 
#363  [ PO2 + PO3 + M -> P2O5 + M           ] 1.38E-27     -2.000     0.00      9.96E-10    -1.000      0.00       Jayaweera+05
339  [ H + P + M -> PH + M                 ]  9.26E-30   -1.10       357.21      1.79E-12     -0.13     459.99        Wang_k_0+Babtista_k_inf
#339  [ H + PH + M -> PH2 + M               ]   1.757E-28   -1.012    295.70    8.07E-11     0.67     120.36        Wang_k_0+Babtista_k_inf
341  [ H + PH + M -> PH2 + M               ]   2.91e-28      -1.10     94.5      7.98e-11     0.222     0.535   **Klippenstein calculation, this work
343  [ PH2 + PH2 + M -> P2H4 + M           ]  5.480E-15   -4.836        351.60  1.670E-10   -0.105      45.000     No_ref.(Visscher&Moses)
345  [ P2H2 + H2 + M -> P2H4 + M           ]  6.550E-10   -6.990       6363.00  8.510E-19    2.238     4674.00     No_ref.(Visscher&Moses)
#345  [ P + P + M -> P2 + M                ]   7.191e-27  -1.67       477.2   3.000E-11     0.000      0.0           based on Twarowski 95; k_infty est
#347  [ P2 + P2 + M -> P4 + M              ]  3.721E-26   -1.867       545.40  1.000E-11  0.000    500.00            based on Twarowski 95; k_infty est
347  [ OH + P + M -> HPO + M              ]  1.241E-25 -1.950     670.00  4.12E-10  0.16      128.41             based on Wang_k_0 OH + PO w. Babtista_k_inf
#339  [ P2O3 + P2O3 + M -> P4O6 + M        ]  1.000E-25   -2.000      500.00    1.000E-16    0.000      0.00      No_ref.(Visscher&Moses)
349  [ P2O3 + P2O3 + M -> P4O6 + M        ] 5.925E-18 -2.99      0.0     3.263E-10 0.166    0.0              Plane_Calculation


# 3-body reactions without high-pressure rates
# id	# Reactions                         	A_0     	B_0     	C_0        	Ref 		  	    Temp

351  [ O + O + M -> O2 + M                ]	  5.21E-35	 0.		   -900.		1986TSA/HAM1087
353  [ H + PO + M -> HPO + M              ]  1.241E-25 -1.950     670.00    Jayaweera+05;Twarowski95
355  [ H + PO3 + M -> HOPO2 + M           ]   3.309E-23 -2.370   720.00     Jayaweera+05;Twarowski95
357  [ H + HPO + M -> HPOH + M            ]  7.549E-26 -1.422   415.50      based_on_Twarowski95
359  [ H + HPOH + M -> H2POH + M         ]  9.619E-24 -1.885    550.80     based_on_Twarowski95
361  [ O + PO + M -> PO2 + M              ] 1.103E-22 -2.630   866.00      Jayaweera+05;Twarowski95
363  [ O + PO2 + M -> PO3 + M             ]  8.962E-21 -3.150   946.70     Jayaweera+05;Twarowski95
365  [ O + HOPO + M -> HOPO2 + M          ]  8.273E-21 -2.990  1027.00     Jayaweera+05;Twarowski95
367  [ O + P + M -> PO + M                ]  1.642E-29 -0.747   218.20      based_on_Twarowski95
369  [ OH + PO + M -> HOPO + M            ]  6.894E-27 -2.090   800.70      Jayaweera+05;Twarowski95
371  [ OH + PH2 + M -> H2POH + M          ]  5.715E-29 -1.223   357.20      based_on_Twarowski95
373  [ OH + PH + M -> HPOH + M           ]  2.175E-33  -0.415   121.40      based_on_Twarowski95
375  [ O + P2 + M -> P2O + M              ] 7.774E-31   -0.844   265.5     based_on_Twarowski95
377  [ O + PH + M -> HPO + M              ] 2.162E-33   -0.309    97.2    based_on_Twarowski95
379  [ O + P2O + M -> P2O2 + M            ]  5.995E-34   -0.268  84.4     based_on_Twarowski95
381  [ PO + PO + M -> P2O2 + M            ] 2.117E-28  -2.077   595.2     based_on_Twarowski95
383  [ PO + P + M -> P2O + M              ] 2.640E-24  -2.41    690.7     based_on_Twarowski95  
385  [ HOPO2 + H2O + M -> H3PO4 + M      ]   1.35E-07   -7.53    0.0        Douglas_et_al.(2022)
387  [ P + P + M -> P2 + M                ]   7.191e-27  -1.67       477.2    based_on_Twarowski95
389  [ P2 + P2 + M -> P4 + M              ]  3.721E-26   -1.867       545.40   based_on_Twarowski95
#341  [ H + PH + M -> PH2 + M               ] 1.757E-28   -1.012    295.70     based_on_Twarowski95
#409  [ HPO2 + M -> HOPO + M               ] 3.90E-10    0.000    23349.39  Jayaweera+05;Glaude+00
#411  [ H + PO2 + M -> HPO2 + M           ]   2.60E-22    -2.31    0.0       Plane_et_al.(2021)_w_2.5_H2_fact
#415  [ HPO2 + H2O + M ->  H3PO3 + M      ]   8.30E-30    0.883    0.0        Plane_et_al.(2021)_w_2.5_H2_fact
#349  [ P2H2 + M -> P2 + H2 + M           ]   1.000E-16  0.000    24000.00   No_ref.(Visscher&Moses)

# special cases
# id	# Reactions
#387  [ H2O + HOPO2 + M -> H3PO4 + M      ]

# reverse stops
# condensation

# photo disscoiation (no reversals) 		            # use sp to link br_index to RXXX
# id	# Reactions                                     sp		br_index #(starting from 1)

391  [ H2O -> H + OH                      ]       		H2O		1
393  [ H2O -> H2 + O_1                    ]             H2O		2
395  [ H2O -> H + H + O                   ]             H2O		3
397  [ H2 -> H + H                        ] 			      H2		1
399  [ OH -> H + O                        ]             OH      1
401  [ HO2 -> O + OH                      ]             HO2     1
403  [ H2O2 -> OH + OH                    ]              H2O2    1
405  [ O2 -> O + O                        ]              O2      1
407  [ O2 -> O + O_1                      ]              O2      2
409  [ PH -> P + H                        ]             PH      1 
411  [ PH2 -> PH + H                      ]             PH2      1 
413  [ PH3 -> PH2 + H                     ]             PH3     1 
415  [ PO -> P + O                        ]             PO      1
417  [ PO2 -> PO + O                      ]             PO2      1 
419  [ HOPO -> H + PO2                    ]             HOPO    1 
421  [ HOPO2 -> OH + PO2                  ]             HOPO2   1 
423  [ P2 -> P + P                        ]             P2      1
425  [ P2H2 -> PH + PH                    ]             P2H2      1
427  [ P2H4 -> PH2 + PH2                  ]             P2H4      1
#441  [ HPO2 -> H + PO2                    ]             HPO2    1 
#441  [ PH3 -> PH + H2                     ]             PH3     2 
# re_end


### Wanted reactions
#23   [ P_2D + H2O -> PO + H2              ]  1.6E-11    0.0      0.0        Douglas et al. (2022) 
#25   [ P_2D + H2O -> P + H2O              ]  3.0E-11    0.0      0.0        Douglas et al. (2022)
#27   [ P_2D + O2 -> PO + O                ]  1.12E-13   0.82    -177.00     Douglas et al. (2022)
#29   [ P_2D + H2 -> P + H2                ]  8.0E-11    0.0      699.00     Douglas et al. (2022)    

### Discarded
#357  [ H3PO4 + M -> H2O + HOPO2 + M       ]  3.49E-17   1.46    21167.91   2004SUL/SUM4296-4309 300-1500
#343  [ PH2 + PH2 -> P2H4                 ]  8.97E-12      0.000     22946.81      1981FER/BEN1922 w. Pimmentel Ea
#345  [ PH2 + PH2 -> P2H2 + H2            ]  8.97E-12      0.000     9309.56      1981FER/BEN1922 w. Pimmentel Ea
#349  [ H2 + P2H2 ->  P2H4                ]  5.25E-13      0.000     18040.85       Est. (molecule + molecule)

### Decomposition reactions from Twarowski - for conversion to tertiary (+ M) reactions or replacement
#31   [ H + PO -> HPO                      ]  3.11E-02    -1.96      639.85        Wang et al. (2016)/Twarowski (1995)
#23   [ HPO -> H + PO                    ]  2.03E+09     1.279     26690.87    Baptista&Almeida(2023)
#25   [ H + PO2 -> HOPO                    ]  2.64E+03     -3.03     964.58     Wang et al. (2016)/Twarowski (1995)  - (see 3 body for alt.)
#31   [ H + PO3 -> HOPO2                   ]  6.19E+00     -2.32     757.72     Wang et al. (2016)/Twarowski (1995)
#31   [ H + HPO -> HPOH                    ]  2.84E+01     -2.65     864.76     Wang et al. (2016)/Twarowski (1995)
#29   [ H + P -> PH                        ]  5.58E-06     -1.10     357.21     Wang et al. (2016)/Twarowski (1995)
#31   [ H + P -> PH                       ]  1.4788E-12     -0.13     459.99       Baptista&Almeida(2023)
#29   [ PH -> P + H                         ]  9.72E+10      0.12     36940.07       Baptista&Almeida(2023)
#27   [ H + PH2 -> PH3                     ]  2.19E+01     -2.67     871.97     Wang et al. (2016)/Twarowski (1995)
#31   [ H + PH2 -> PH3                     ]  3.70E-10      0.0      340.00       Kaye and Strobel (1984)
#31   [ H + PH -> PH2                      ]  2.08E-26     -1.89     615.79     Wang et al. (2016)/Twarowski (1995)
#33   [ H + PH -> PH2                      ]  8.07e-11     0.67      120.36     Baptista&Almeida(2023)
#31   [ PH2 -> H + PH                      ]  4.08E+13     0.20      40982.2     Baptista&Almeida(2023)
#31   [ H + HPOH -> H2POH                  ]  9.32E+04     -3.52     1147.40     Wang et al. (2016)/Twarowski (1995)
#33   [ O + PO -> PO2                      ]  6.79E+00     -2.44     796.20     Wang et al. (2016)/Twarowski (1995)
#35   [ O + PO2 -> PO3                     ]  2.34E+03     -3.15     1027.13     Wang et al. (2016)/Twarowski (1995)
#37   [ O + HOPO -> HOPO2                  ]  1.83E+02     -2.67     869.57     Wang et al. (2016)/Twarowski (1995)
#39   [ O + P -> PO                        ]  2.64E-04     -1.39     454.63     Wang et al. (2016)/Twarowski (1995)
#31   [ O + P2 -> P2O                      ]  8.29E-08     -0.73     236.94     Wang et al. (2016)/Twarowski (1995)
#33   [ O + PH -> HPO                      ]  3.87E-10     -0.27     86.87     Wang et al. (2016)/Twarowski (1995)
#37   [ O + P2O -> P2O2                    ]  1.12E-10     -0.23     75.41     Wang et al. (2016)/Twarowski (1995)
#49   [ OH + PO -> HOPO                    ]  5.62E-05     -1.64     534.01     Wang et al. (2016)/Twarowski (1995)
#55   [ OH + PO2 -> HOPO2                  ]  1.88E+06     -4.06     1323.00  Wang et al. (2016)/Twarowski (1995)
#51   [ OH + PH2 -> H2POH                  ]  1.34E-02     -2.28     743.28     Wang et al. (2016)/Twarowski (1995)
#53   [ OH + PH -> HPOH                    ]  1.48E-08     -0.93     303.09     Wang et al. (2016)/Twarowski (1995)
#39   [ OH + P -> HPO                      ]  4.12e-10     0.16      128.41     Baptista&Almeida(2023) - note mistake for Ea in paper
#57   [ HPO -> P + OH                      ]  2.34E+17      -0.61    43106.66     Baptista&Almeida(2023)
#41   [ PO + PO -> P2O2                    ]  1.57E-05     -1.90     618.20     Wang et al. (2016)/Twarowski (1995)
#61   [ PO + PO2 -> P2O3                   ]  7.82E+06     -4.41     1431.24     Wang et al. (2016)/Twarowski (1995)
#43   [ PO + P -> P2O                      ]  1.63E-01     -2.20     716.82     Wang et al. (2016)/Twarowski (1995)

### Plane reactions (unused, likely, need NASA polynomials)
#357  [ OP(OH)2 + H -> HOPO2 + H2           ]  1.16E-11     0.5        0.0        Plane et al. (2021)
#359  [ HPOOH + O -> HOPO2 + OH           ]  1.16E-11     0.5        0.0        Plane et al. (2021)
#361  [ HPOOH + H -> HOPO + H2            ]  1.16E-11     0.5        0.0        Plane et al. (2021)
#363  [ HPOOH + O -> PO2 + H2O            ]  5.89E-11     0.125      0.0        Plane et al. (2021)
#365  [ HPOOH + O -> HOPO2 + H            ]  3.45E-11     -0.028     0.0        Plane et al. (2021)
#367  [ HPOOH + O -> HPO2 + OH            ]  2.11E-11     -0.018     0.0        Plane et al. (2021)
#369  [ HPOOH + O -> HOPO + OH            ]  2.73E-11     -0.08      0.0        Plane et al. (2021)
#371  [ HPOOH + OH -> HOPO + H2O          ]  1.16E-11     0.5        0.0        Plane et al. (2021)
#397  [ HOPO2 + H + M -> OP(OH)2 + M         ]   7.61E-26   0.358 0.0       Plane et al. (2021)
#399  [ HOPO + H + M -> HPOOH + M          ]   6.77E-21   -3.31 0.0       Plane et al. (2021)
#370  [ H3PO3 -> OP(OH)2 + H               ]             H3PO3   1 
#370  [ H3PO4 -> OP(OH)2 + OH              ]             H3PO4   1 
